@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,10,12-14,16-22'

@attribute x-mean1000 numeric
@attribute z-mean1000 numeric
@attribute abs-var1000 numeric
@attribute class {WALKING,STANDING,SITTING}

@data
-4.938686,4.042886,0.12509,SITTING
-4.9401,4.06976,0.117261,SITTING
-4.9401,4.094277,0.114227,SITTING
-4.941632,4.271256,0.03794,SITTING
-4.941632,4.29041,0.03794,SITTING
-4.903325,4.412993,0.008406,SITTING
-4.903325,4.535576,0,SITTING
-4.903325,4.535576,0,SITTING
-4.903325,4.545791,0,SITTING
-4.903325,4.509308,0,SITTING
-4.903325,4.494715,0.007297,SITTING
-4.903325,4.465528,0.006433,SITTING
-4.903325,4.481946,0.005746,SITTING
-4.903325,4.460664,0.005189,SITTING
-4.903325,4.474284,0.004728,SITTING
-4.903325,4.405331,0.009851,SITTING
-4.903325,4.460664,0.011675,SITTING
-4.903325,4.535576,0.01869,SITTING
-4.903325,4.569008,0.023077,SITTING
-4.903325,4.647944,0.02119,SITTING
-4.903325,4.736166,0.023077,SITTING
-4.877787,4.826711,0.028367,SITTING
-4.856178,4.879752,0.026335,SITTING
-4.837655,4.925215,0.02702,SITTING
-4.801172,4.944186,0.031789,SITTING
-4.76925,4.97994,0.047227,SITTING
-4.723056,5.047541,0.077636,SITTING
-4.668975,5.173729,0.150123,SITTING
-4.596867,5.299918,0.252968,SITTING
-4.443638,5.550292,0.812045,SITTING
-4.244441,5.929959,1.258047,SITTING
-4.15111,6.073437,1.528963,SITTING
-4.170491,6.315696,1.584786,SITTING
-4.117194,6.635478,1.477808,SITTING
-3.983952,6.951021,1.41137,SITTING
-3.930655,7.1418,1.352423,SITTING
-3.881799,7.265604,1.260247,SITTING
-3.805185,7.584831,0.631436,SITTING
-3.770764,7.834661,0.222533,SITTING
-3.797412,7.967903,0.133992,SITTING
-3.852613,8.040869,0.162509,SITTING
-3.92266,8.121132,0.163247,SITTING
-3.852613,8.157615,0.157033,SITTING
-3.75046,8.128429,0.145634,SITTING
-3.719284,8.162922,0.08386,SITTING
